"Index","Headline","Timestamp","Refered.stock","ml_sentiment","clean_timestamp","ts","trade_date","price_type","Ticker","Open","Close","entry_price","exit_date","exit_price","exit_reason","dollars_invested","shares","final_value","trade_return_pct"
1,"$919k META YOLO – Mark “Haircut” Zuckerberg Better Print Me Tendies","Saturday, November 1, 2025 at 12:25:24 AM EDT","META","positive","2025-11-01 00:25:24",2025-11-01 00:25:24,2025-11-03,"Open","META",656,637.710021972656,656,2025-11-12,609.010009765625,"SL",100,0.152439024390244,92.8368917325648,-0.0716310826743523
4,"3M+ META Yolo","Sunday, November 2, 2025 at 2:44:16 PM EST","META","positive","2025-11-02 14:44:16",2025-11-02 14:44:16,2025-11-03,"Open","META",656,637.710021972656,656,2025-11-12,609.010009765625,"SL",100,0.152439024390244,92.8368917325648,-0.0716310826743523
8,"200K+ YOLO on $HIMS","Monday, November 3, 2025 at 5:28:49 AM EST","HIMS","positive","2025-11-03 05:28:49",2025-11-03 05:28:49,2025-11-03,"Open","HIMS",46.9000015258789,44.3899993896484,46.9000015258789,2025-11-04,42.7900009155273,"SL",100,2.13219609267648,91.2366727577105,-0.0876332724228955
9,"50K YOLO, the only winning move is not to play","Monday, November 3, 2025 at 9:38:57 AM EST","GME","positive","2025-11-03 09:38:57",2025-11-03 09:38:57,2025-11-03,"Open","GME",22.25,22.1100006103516,22.25,2025-11-14,20.6599998474121,"SL",100,4.49438202247191,92.8539318984814,-0.0714606810151861
11,"$LUMN YOLO","Monday, November 3, 2025 at 10:40:27 AM EST","LUMN","positive","2025-11-03 10:40:27",2025-11-03 10:40:27,2025-11-03,"Open","LUMN",10.0200004577637,11.8299999237061,10.0200004577637,2025-11-11,9.25,"SL",100,9.98003946422161,92.3153650440499,-0.0768463495595014
12,"HTZ earnings $30k YOLO","Monday, November 3, 2025 at 11:28:48 AM EST","HTZ","positive","2025-11-03 11:28:48",2025-11-03 11:28:48,2025-11-03,"Open","HTZ",5.19999980926514,4.94000005722046,5.19999980926514,2025-11-04,6.73000001907349,"TP",100,19.2307699361497,129.423082037085,0.294230820370851
14,"100K yolo on $AMD earnings","Monday, November 3, 2025 at 1:02:16 PM EST","AMD","positive","2025-11-03 13:02:16",2025-11-03 13:02:16,2025-11-03,"Close","AMD",259.329986572266,259.649993896484,259.649993896484,2025-11-06,237.699996948242,"SL",100,0.385133843060545,91.5463133201563,-0.0845368667984374
15,"1.5mil YOLO on PLTR earnings","Monday, November 3, 2025 at 1:27:10 PM EST","PLTR","positive","2025-11-03 13:27:10",2025-11-03 13:27:10,2025-11-03,"Close","PLTR",205.044998168945,207.179992675781,207.179992675781,2025-11-04,190.740005493164,"SL",100,0.482672089657283,92.0648770326272,-0.0793512296737278
17,"FRODO BAG(HOLD)INS - PLTR 3DTE SHORT YOLOOO","Tuesday, November 4, 2025 at 11:31:30 AM EST","PLTR","positive","2025-11-04 11:31:30",2025-11-04 11:31:30,2025-11-04,"Open","PLTR",192.070007324219,190.740005493164,192.070007324219,2025-11-06,175.050003051758,"SL",100,0.520643495531281,91.1386454816286,-0.0886135451837139
18,"MSTY and ULTY ate all my gains from this year :-/","Tuesday, November 4, 2025 at 3:14:36 PM EST","MSTY","positive","2025-11-04 15:14:36",2025-11-04 15:14:36,2025-11-04,"Close","MSTY",9.64445066311476,9.3285436630249,9.3285436630249,2025-11-12,8.5952320098877,"SL",100,10.7197868833873,92.1390553592647,-0.0786094464073528
